CHR/ IB Item ID,Customer Name,Site Name,Customer location (Country),Project/ BAU,FEB Reference,Task Received Date,month,Task Accept Date,Request place date,Task close date,Date of Install,INSTALL TIME,CHR Value,Curr.,Converted to USD,Duration Hour,Additional hrs,quote received,Neeco- Basic,Neeco - addi,SGS-Basic,SGS - addi,NSC- Basic,Travel/cable /nuts,NSC - addi,Supplier,Basic Hrs,Additional hrs ,Curr. ,Basic saving,Cost optimization,Additional hrs  ,Final Charges,FE received Date- Vendor,FE details shared - Requestor,FE Name,FE Contact No.,Task Regarding,Requestor name,PO NO,Remarks,IN TIME,OUT TIME,closed,Quote ETA,"Request received, validated - Accepted/Rejected",Order placing to vendors,Expected ETA from vendor,Provide ETA & FE details to internal team,Closer Measurement,Task Acceptance,FE closure,quote received date,SVR Received date,PO Created date,CLOSURE STATUS
CHR001000010,Ericsson,Ericsson - Germany,Germany,Project,FEB4633987776,06/02/2024,Jun-2024,06/04/2024,06/04/2024,06/07/2024,06/06/2024,12:45,1019.69,USD,1019.69,8.6,5.6,06/04/2024,0.0,0.0,0.0,0.0,611.81,16.46,168.0,NSC,8.6,5.6,USD,34.37,34.37,5.6,985.32,06/04/2024,06/05/2024,Kwame Mensah,+55 949 5533,FE detail Received,Renuka,4500475894,,12:45,20:45,06/07/2024,3,Not Met,MET,MET,Not Met,MET,MET,MET,06/04/2024,06/07/2024,06/04/2024,TASK CLOSE
CHR001000011,Vodafone Italia,Vodafone Italia - Singapore,Singapore,BAU,FEB3929454134,02/27/2024,Feb-2024,02/27/2024,02/27/2024,03/05/2024,03/01/2024,08:30,886.77,USD,886.77,6.4,3.5,02/27/2024,0.0,0.0,0.0,0.0,532.06,56.69,105.0,NSC,6.4,3.5,USD,48.61,48.61,3.5,838.16,02/27/2024,02/28/2024,Pedro Alves,+46 898 7658,FE detail Received,Priya,4520743797,,08:30,14:30,03/05/2024,2,Not Met,Not Met,Not Met,Not Met,MET,MET,MET,02/27/2024,03/05/2024,02/27/2024,CANCELLED
CHR001000012,Cisco Systems,Cisco Systems - UAE,UAE,BAU,FEB3834820954,12/08/2024,Dec-2024,12/10/2024,12/10/2024,12/16/2024,12/14/2024,11:15,414.76,USD,414.76,2.6,0.7,12/10/2024,0.0,0.0,248.86,21.0,0.0,37.89,0.0,SGS,2.6,0.7,USD,102.45,102.45,0.7,312.31,12/10/2024,12/11/2024,Fatihaqul Ihsan,+36 985 2137,FE detail Received,Deepa,4537463522,,11:15,13:15,12/16/2024,3,MET,MET,Not Met,MET,MET,MET,MET,12/10/2024,12/16/2024,12/10/2024,OPEN TASK
CHR001000013,Seven For All Mankind,Seven For All Mankind - India,India,BAU,FEB6141226746,10/24/2024,Oct-2024,10/25/2024,10/25/2024,10/26/2024,10/26/2024,08:45,535.93,USD,535.93,4.4,0.3,10/25/2024,0.0,0.0,321.56,9.0,0.0,40.19,0.0,SGS,4.4,0.3,USD,78.51,78.51,0.3,457.42,10/25/2024,10/26/2024,Ronald Yau,+86 438 6143,FE detail Received,Rahul,4516726926,,08:45,12:45,10/26/2024,3,MET,MET,MET,MET,MET,MET,Not Met,10/25/2024,10/26/2024,10/25/2024,OPEN TASK
CHR001000014,Cisco Systems,Cisco Systems - China,China,BAU,FEB7490442894,12/06/2024,Dec-2024,12/07/2024,12/07/2024,12/14/2024,12/10/2024,15:45,1083.61,USD,1083.61,11.7,3.6,12/07/2024,0.0,0.0,0.0,0.0,650.17,65.56,108.0,NSC,11.7,3.6,USD,16.11,16.11,3.6,1067.5,12/07/2024,12/08/2024,Mohammed Al-Farsi,+95 273 2389,FE detail Received,Sonali,4569182797,,15:45,23:45,12/14/2024,5,MET,Not Met,Not Met,MET,Not Met,MET,MET,12/07/2024,12/14/2024,12/07/2024,OPEN TASK
CHR001000015,Vodafone Italia,Vodafone Italia - Indonesia,Indonesia,BAU,FEB8638257497,01/24/2024,Jan-2024,01/24/2024,01/24/2024,02/05/2024,02/01/2024,18:00,424.33,USD,424.33,5.4,0.1,01/24/2024,0.0,0.0,254.6,3.0,0.0,25.32,0.0,SGS,5.4,0.1,USD,86.6,86.6,0.1,337.73,01/24/2024,01/25/2024,Raj Kumar,+90 630 8611,FE detail Received,Renuka,4574813739,,18:00,23:00,02/05/2024,2,Not Met,MET,MET,MET,MET,MET,MET,01/24/2024,02/05/2024,01/24/2024,TASK CLOSE
CHR001000016,Airtel Africa,Airtel Africa - Australia,Australia,BAU,FEB6474354351,08/14/2024,Aug-2024,08/16/2024,08/16/2024,08/28/2024,08/25/2024,16:45,1128.05,USD,1128.05,14.3,4.2,08/16/2024,0.0,0.0,0.0,0.0,676.83,15.42,126.0,NSC,14.3,4.2,USD,31.88,31.88,4.2,1096.17,08/16/2024,08/17/2024,Kwame Mensah,+37 340 5451,FE detail Received,Sonali,4542910691,,16:45,23:45,08/28/2024,5,MET,MET,MET,MET,MET,Not Met,Not Met,08/16/2024,08/28/2024,08/16/2024,TASK CLOSE
CHR001000017,Cisco Systems,Cisco Systems - UK,UK,Project,FEB8884394611,06/18/2024,Jun-2024,06/20/2024,06/20/2024,07/01/2024,06/28/2024,15:00,416.84,USD,416.84,2.2,0.8,06/20/2024,0.0,0.0,250.1,24.0,0.0,47.68,0.0,SGS,2.2,0.8,USD,136.35,136.35,0.8,280.49,06/20/2024,06/21/2024,Ronald Yau,+95 659 4613,FE detail Received,Supriya,4529450273,,15:00,17:00,07/01/2024,3,MET,MET,MET,MET,MET,MET,Not Met,06/20/2024,07/01/2024,06/20/2024,OPEN TASK
CHR001000018,Seven For All Mankind,Seven For All Mankind - USA,USA,Project,FEB6923301988,11/14/2024,Nov-2024,11/16/2024,11/16/2024,11/20/2024,11/17/2024,15:30,433.58,USD,433.58,7.6,2.3,11/16/2024,260.15,69.0,0.0,0.0,0.0,62.64,0.0,Neeco,7.6,2.3,USD,46.19,46.19,2.3,387.39,11/16/2024,11/17/2024,Ivan Petrov,+54 358 2341,FE detail Received,Supriya,4502601580,,15:30,22:30,11/20/2024,5,MET,Not Met,MET,MET,MET,MET,Not Met,11/16/2024,11/20/2024,11/16/2024,TASK CLOSE
CHR001000019,SGS S.A.,SGS S.A. - Germany,Germany,Project,FEB9410288290,04/12/2024,Apr-2024,04/12/2024,04/12/2024,04/23/2024,04/22/2024,09:15,580.07,USD,580.07,8.4,3.9,04/12/2024,0.0,0.0,0.0,0.0,348.04,37.77,117.0,NSC,8.4,3.9,USD,30.29,30.29,3.9,549.78,04/12/2024,04/13/2024,David Kimani,+92 303 2245,FE detail Received,Priya,4592692697,,09:15,17:15,04/23/2024,2,MET,Not Met,Not Met,MET,MET,Not Met,Not Met,04/12/2024,04/23/2024,04/12/2024,TASK CLOSE
CHR001000020,Airtel Africa,Airtel Africa - Germany,Germany,BAU,FEB7371573279,09/29/2024,Sep-2024,09/30/2024,09/30/2024,10/06/2024,10/06/2024,10:45,554.87,USD,554.87,4.0,0.3,09/30/2024,0.0,0.0,332.92,9.0,0.0,40.49,0.0,SGS,4.0,0.3,USD,174.31,174.31,0.3,380.56,09/30/2024,10/01/2024,James Osei,+94 706 5397,FE detail Received,Sonali,4532949803,,10:45,14:45,10/06/2024,1,MET,MET,Not Met,MET,Not Met,MET,MET,09/30/2024,10/06/2024,09/30/2024,TASK CLOSE
CHR001000021,Vodafone Italia,Vodafone Italia - UAE,UAE,Project,FEB4256292393,09/10/2024,Sep-2024,09/11/2024,09/11/2024,09/17/2024,09/14/2024,09:15,738.24,USD,738.24,8.1,5.2,09/11/2024,0.0,0.0,0.0,0.0,442.94,58.34,156.0,NSC,8.1,5.2,USD,47.4,47.4,5.2,690.84,09/11/2024,09/12/2024,Pedro Alves,+83 828 9041,FE detail Received,Supriya,4502314351,,09:15,17:15,09/17/2024,1,MET,MET,MET,MET,MET,Not Met,Not Met,09/11/2024,09/17/2024,09/11/2024,TASK CLOSE
CHR001000022,Ericsson,Ericsson - Singapore,Singapore,BAU,FEB8467250120,06/25/2024,Jun-2024,06/26/2024,06/26/2024,07/07/2024,07/05/2024,10:15,522.65,USD,522.65,6.1,1.9,06/26/2024,313.59,57.0,0.0,0.0,0.0,29.35,0.0,Neeco,6.1,1.9,USD,96.07,96.07,1.9,426.58,06/26/2024,06/27/2024,Sophie Martin,+76 878 9595,FE detail Received,Priya,4537983442,,10:15,16:15,07/07/2024,1,Not Met,MET,MET,MET,MET,MET,Not Met,06/26/2024,07/07/2024,06/26/2024,OPEN TASK
CHR001000023,Deutsche Telekom,Deutsche Telekom - Indonesia,Indonesia,Project,FEB3051831252,01/24/2024,Jan-2024,01/24/2024,01/24/2024,02/04/2024,02/02/2024,10:00,1107.92,USD,1107.92,13.0,2.5,01/24/2024,0.0,0.0,0.0,0.0,664.75,67.55,75.0,NSC,13.0,2.5,USD,22.02,22.02,2.5,1085.9,01/24/2024,01/25/2024,Kwame Mensah,+52 603 2213,FE detail Received,Priya,4584482772,,10:00,23:00,02/04/2024,1,MET,Not Met,Not Met,MET,Not Met,Not Met,Not Met,01/24/2024,02/04/2024,01/24/2024,TASK CLOSE
CHR001000024,Cisco Systems,Cisco Systems - Singapore,Singapore,BAU,FEB1348697524,11/06/2024,Nov-2024,11/08/2024,11/08/2024,11/19/2024,11/18/2024,09:15,572.55,USD,572.55,5.1,0.4,11/08/2024,0.0,0.0,343.53,12.0,0.0,26.79,0.0,SGS,5.1,0.4,USD,59.03,59.03,0.4,513.52,11/08/2024,11/09/2024,Ronald Yau,+71 176 3564,FE detail Received,Renuka,4554830300,,09:15,14:15,11/19/2024,4,MET,MET,MET,MET,MET,MET,MET,11/08/2024,11/19/2024,11/08/2024,TASK CLOSE
CHR001000025,SGS S.A.,SGS S.A. - Kenya,Kenya,Project,FEB5829062179,05/15/2024,May-2024,05/17/2024,05/17/2024,06/01/2024,05/27/2024,12:30,445.91,USD,445.91,8.8,1.4,05/17/2024,267.55,42.0,0.0,0.0,0.0,58.21,0.0,Neeco,8.8,1.4,USD,24.77,24.77,1.4,421.14,05/17/2024,05/18/2024,Sophie Martin,+90 512 5460,FE detail Received,Priya,4572475098,,12:30,20:30,06/01/2024,4,MET,MET,Not Met,Not Met,MET,MET,MET,05/17/2024,06/01/2024,05/17/2024,TASK CLOSE
CHR001000026,Hilton Hotels,Hilton Hotels - Germany,Germany,Project,FEB5686850445,04/27/2024,Apr-2024,04/29/2024,04/29/2024,05/13/2024,05/09/2024,12:15,970.6,USD,970.6,15.5,6.0,04/29/2024,0.0,0.0,0.0,0.0,582.36,34.36,180.0,NSC,15.5,6.0,USD,32.58,32.58,6.0,938.02,04/29/2024,04/30/2024,Amara Diallo,+43 428 2713,FE detail Received,Deepa,4521585546,,12:15,23:15,05/13/2024,3,MET,MET,MET,MET,Not Met,MET,MET,04/29/2024,05/13/2024,04/29/2024,TASK CLOSE
CHR001000027,Hilton Hotels,Hilton Hotels - USA,USA,Project,FEB4264134512,06/10/2024,Jun-2024,06/11/2024,06/11/2024,06/17/2024,06/17/2024,13:45,860.22,USD,860.22,15.7,3.6,06/11/2024,0.0,0.0,0.0,0.0,516.13,24.25,108.0,NSC,15.7,3.6,USD,9.38,9.38,3.6,850.84,06/11/2024,06/12/2024,David Kimani,+71 234 5719,FE detail Received,Supriya,4593717532,,13:45,23:45,06/17/2024,4,MET,Not Met,MET,MET,Not Met,Not Met,Not Met,06/11/2024,06/17/2024,06/11/2024,TASK CLOSE
CHR001000028,Vodafone Italia,Vodafone Italia - Singapore,Singapore,Project,FEB9505085936,10/09/2024,Oct-2024,10/10/2024,10/10/2024,10/13/2024,10/12/2024,12:45,438.43,USD,438.43,6.0,0.9,10/10/2024,0.0,0.0,263.06,27.0,0.0,27.06,0.0,SGS,6.0,0.9,USD,126.33,126.33,0.9,312.1,10/10/2024,10/11/2024,Chen Wei,+71 248 7284,FE detail Received,Anandhy,4580447099,,12:45,18:45,10/13/2024,5,MET,MET,MET,Not Met,MET,MET,MET,10/10/2024,10/13/2024,10/10/2024,TASK CLOSE
CHR001000029,Deutsche Telekom,Deutsche Telekom - Singapore,Singapore,BAU,FEB7750819485,01/02/2024,Jan-2024,01/03/2024,01/03/2024,01/12/2024,01/08/2024,13:15,746.1,USD,746.1,7.5,2.3,01/03/2024,447.66,69.0,0.0,0.0,0.0,26.35,0.0,Neeco,7.5,2.3,USD,50.18,50.18,2.3,695.92,01/03/2024,01/04/2024,Fatima Al-Rashid,+53 144 6213,FE detail Received,Rahul,4563481797,,13:15,20:15,01/12/2024,4,MET,MET,Not Met,Not Met,MET,MET,MET,01/03/2024,01/12/2024,01/03/2024,OPEN TASK
CHR001000030,Ericsson,Ericsson - Indonesia,Indonesia,Project,FEB3791027186,10/29/2024,Oct-2024,10/30/2024,10/30/2024,11/04/2024,11/01/2024,12:30,406.14,USD,406.14,4.6,2.8,10/30/2024,243.68,84.0,0.0,0.0,0.0,69.62,0.0,Neeco,4.6,2.8,USD,82.52,82.52,2.8,323.62,10/30/2024,10/31/2024,Joel Macharia,+87 979 9742,FE detail Received,Supriya,4542501540,,12:30,16:30,11/04/2024,4,Not Met,MET,MET,MET,Not Met,MET,Not Met,10/30/2024,11/04/2024,10/30/2024,TASK CLOSE
CHR001000031,Cisco Systems,Cisco Systems - Kenya,Kenya,BAU,FEB1751917162,02/20/2024,Feb-2024,02/22/2024,02/22/2024,02/27/2024,02/24/2024,14:15,411.58,USD,411.58,5.0,1.6,02/22/2024,246.95,48.0,0.0,0.0,0.0,52.66,0.0,Neeco,5.0,1.6,USD,39.54,39.54,1.6,372.04,02/22/2024,02/23/2024,Yuki Tanaka,+49 734 4945,FE detail Received,Supriya,4578270025,,14:15,19:15,02/27/2024,2,MET,MET,MET,MET,MET,MET,MET,02/22/2024,02/27/2024,02/22/2024,TASK CLOSE
CHR001000032,Seven For All Mankind,Seven For All Mankind - Singapore,Singapore,Project,FEB2268006448,02/07/2024,Feb-2024,02/08/2024,02/08/2024,02/18/2024,02/14/2024,14:30,676.13,USD,676.13,5.8,2.9,02/08/2024,405.68,87.0,0.0,0.0,0.0,78.46,0.0,Neeco,5.8,2.9,USD,28.53,28.53,2.9,647.6,02/08/2024,02/09/2024,Amir Khan,+85 505 5497,FE detail Received,Renuka,4575957706,,14:30,19:30,02/18/2024,1,Not Met,Not Met,Not Met,Not Met,Not Met,MET,MET,02/08/2024,02/18/2024,02/08/2024,OPEN TASK
CHR001000033,SGS S.A.,SGS S.A. - UAE,UAE,Project,FEB4145461251,11/21/2024,Nov-2024,11/21/2024,11/21/2024,12/03/2024,12/01/2024,15:00,497.75,USD,497.75,4.7,0.7,11/21/2024,0.0,0.0,298.65,21.0,0.0,16.31,0.0,SGS,4.7,0.7,USD,96.34,96.34,0.7,401.41,11/21/2024,11/22/2024,James Osei,+38 434 7807,FE detail Received,Anandhy,4526950221,,15:00,19:00,12/03/2024,2,Not Met,Not Met,MET,MET,Not Met,MET,MET,11/21/2024,12/03/2024,11/21/2024,TASK CLOSE
CHR001000034,Nokia Networks,Nokia Networks - India,India,BAU,FEB8690920484,05/31/2024,May-2024,06/02/2024,06/02/2024,06/08/2024,06/08/2024,16:30,701.66,USD,701.66,6.8,1.2,06/02/2024,421.0,36.0,0.0,0.0,0.0,10.97,0.0,Neeco,6.8,1.2,USD,87.66,87.66,1.2,614.0,06/02/2024,06/03/2024,Ivan Petrov,+69 226 8451,FE detail Received,Sonali,4590305496,,16:30,22:30,06/08/2024,3,MET,Not Met,Not Met,MET,Not Met,MET,Not Met,06/02/2024,06/08/2024,06/02/2024,TASK CLOSE
CHR001000035,Huawei,Huawei - Germany,Germany,BAU,FEB3308745090,10/14/2024,Oct-2024,10/15/2024,10/15/2024,10/26/2024,10/25/2024,15:00,439.28,USD,439.28,4.6,0.6,10/15/2024,0.0,0.0,263.57,18.0,0.0,37.21,0.0,SGS,4.6,0.6,USD,55.58,55.58,0.6,383.7,10/15/2024,10/16/2024,Lucas Silva,+48 786 9850,FE detail Received,Supriya,4578831486,,15:00,19:00,10/26/2024,2,Not Met,MET,Not Met,MET,MET,MET,MET,10/15/2024,10/26/2024,10/15/2024,TASK CLOSE
CHR001000036,SGS S.A.,SGS S.A. - UAE,UAE,BAU,FEB1091729577,08/15/2024,Aug-2024,08/16/2024,08/16/2024,08/22/2024,08/20/2024,15:00,617.79,USD,617.79,4.6,2.4,08/16/2024,370.67,72.0,0.0,0.0,0.0,65.08,0.0,Neeco,4.6,2.4,USD,29.77,29.77,2.4,588.02,08/16/2024,08/17/2024,Joel Macharia,+32 228 4362,FE detail Received,Renuka,4574384510,,15:00,19:00,08/22/2024,2,MET,Not Met,MET,Not Met,MET,Not Met,MET,08/16/2024,08/22/2024,08/16/2024,TASK CLOSE
CHR001000037,Seven For All Mankind,Seven For All Mankind - India,India,BAU,FEB4202607993,03/07/2024,Mar-2024,03/09/2024,03/09/2024,03/15/2024,03/14/2024,10:45,592.26,USD,592.26,7.1,5.5,03/09/2024,0.0,0.0,0.0,0.0,355.36,43.34,165.0,NSC,7.1,5.5,USD,13.27,13.27,5.5,578.99,03/09/2024,03/10/2024,David Kimani,+47 625 2786,FE detail Received,Supriya,4567624084,,10:45,17:45,03/15/2024,2,Not Met,MET,Not Met,Not Met,Not Met,MET,Not Met,03/09/2024,03/15/2024,03/09/2024,TASK CLOSE
CHR001000038,Vodafone Italia,Vodafone Italia - USA,USA,Project,FEB7573691558,02/01/2024,Feb-2024,02/02/2024,02/02/2024,02/12/2024,02/09/2024,18:30,1136.79,USD,1136.79,12.9,4.0,02/02/2024,0.0,0.0,0.0,0.0,682.07,41.76,120.0,NSC,12.9,4.0,USD,13.75,13.75,4.0,1123.04,02/02/2024,02/03/2024,Amara Diallo,+78 540 2624,FE detail Received,Deepa,4594191239,,18:30,23:30,02/12/2024,1,Not Met,MET,Not Met,Not Met,Not Met,MET,MET,02/02/2024,02/12/2024,02/02/2024,TASK CLOSE
CHR001000039,SGS S.A.,SGS S.A. - USA,USA,Project,FEB8468071953,07/30/2024,Jul-2024,07/31/2024,07/31/2024,08/11/2024,08/08/2024,09:00,428.03,USD,428.03,3.7,0.1,07/31/2024,0.0,0.0,256.82,3.0,0.0,66.82,0.0,SGS,3.7,0.1,USD,60.07,60.07,0.1,367.96,07/31/2024,08/01/2024,Omar Hassan,+72 161 6400,FE detail Received,Rahul,4516405605,,09:00,12:00,08/11/2024,4,MET,MET,Not Met,Not Met,MET,MET,MET,07/31/2024,08/11/2024,07/31/2024,OPEN TASK
CHR001000040,Huawei,Huawei - India,India,BAU,FEB8273403366,06/08/2024,Jun-2024,06/09/2024,06/09/2024,06/15/2024,06/11/2024,11:45,837.53,USD,837.53,11.1,2.6,06/09/2024,0.0,0.0,0.0,0.0,502.52,12.03,78.0,NSC,11.1,2.6,USD,13.93,13.93,2.6,823.6,06/09/2024,06/10/2024,David Kimani,+35 819 6062,FE detail Received,Sonali,4547113566,,11:45,22:45,06/15/2024,1,MET,MET,MET,MET,Not Met,Not Met,MET,06/09/2024,06/15/2024,06/09/2024,TASK CLOSE
CHR001000041,Ericsson,Ericsson - Kenya,Kenya,BAU,FEB6463640105,04/20/2024,Apr-2024,04/21/2024,04/21/2024,05/01/2024,04/28/2024,17:00,1005.12,USD,1005.12,9.4,3.5,04/21/2024,0.0,0.0,0.0,0.0,603.07,56.34,105.0,NSC,9.4,3.5,USD,7.87,7.87,3.5,997.25,04/21/2024,04/22/2024,David Kimani,+63 721 8242,FE detail Received,Supriya,4536663833,,17:00,23:00,05/01/2024,2,Not Met,MET,MET,MET,MET,Not Met,Not Met,04/21/2024,05/01/2024,04/21/2024,TASK CLOSE
CHR001000042,Ericsson,Ericsson - USA,USA,Project,FEB1754603440,12/07/2024,Dec-2024,12/08/2024,12/08/2024,12/10/2024,12/09/2024,08:45,505.38,USD,505.38,10.0,4.4,12/08/2024,0.0,0.0,0.0,0.0,303.23,36.61,132.0,NSC,10.0,4.4,USD,16.41,16.41,4.4,488.97,12/08/2024,12/09/2024,Rania Mostafa,+91 335 9196,FE detail Received,Priya,4589663907,,08:45,18:45,12/10/2024,3,MET,Not Met,MET,MET,MET,MET,MET,12/08/2024,12/10/2024,12/08/2024,TASK CLOSE
CHR001000043,Cisco Systems,Cisco Systems - Australia,Australia,Project,FEB7824150224,10/20/2024,Oct-2024,10/21/2024,10/21/2024,10/30/2024,10/28/2024,09:15,397.43,USD,397.43,2.5,0.0,10/21/2024,0.0,0.0,238.46,0.0,0.0,46.68,0.0,SGS,2.5,0.0,USD,63.22,63.22,0.0,334.21,10/21/2024,10/22/2024,Priya Singh,+51 991 6083,FE detail Received,Rahul,4545568701,,09:15,11:15,10/30/2024,2,MET,MET,MET,MET,Not Met,MET,MET,10/21/2024,10/30/2024,10/21/2024,OPEN TASK
